Subject ID,Left Choice,Right Choice,Side Correct,Side Picked,Correct,Distance,Response Time,Date/Time,Consecutive Rounds
4,A,X,right,right,yes,23,0.16695646,2015-06-30T15:36:54.736,1
4,A,Q,right,right,yes,16,0.02320043,2015-06-30T15:36:55.912,2
4,Y,E,left,left,yes,20,0.696316532,2015-06-30T15:36:57.758,3
4,I,J,right,right,yes,1,1.152988222,2015-06-30T15:37:00.037,4
4,J,P,right,left,no,6,0.556854376,2015-06-30T15:37:01.764,5
4,W,H,left,left,yes,15,0.449815006,2015-06-30T15:37:03.377,6
4,U,J,left,right,no,11,0.456590867,2015-06-30T15:37:04.970,7
4,C,U,right,right,yes,18,0.127027413,2015-06-30T15:37:06.251,8
4,J,V,right,right,yes,12,2.97878593,2015-06-30T15:37:10.393,9
4,N,E,left,right,no,9,0.029039773,2015-06-30T15:37:11.623,10
4,Q,J,left,right,no,7,0.026025809,2015-06-30T15:37:12.791,11
4,Q,X,right,right,yes,7,0.024522247,2015-06-30T15:37:13.965,12
4,A,U,right,right,yes,20,0.003049458,2015-06-30T15:37:15.118,13
4,H,Y,right,right,yes,17,0.027479764,2015-06-30T15:37:16.289,14
4,V,J,left,right,no,12,0.011673982,2015-06-30T15:37:17.458,15
4,Q,P,left,right,no,1,0.029686784,2015-06-30T15:37:18.626,16
4,X,A,left,right,no,23,0.021980391,2015-06-30T15:37:19.796,17
4,I,L,right,right,yes,3,0.016907795,2015-06-30T15:37:20.967,18
4,R,B,left,right,no,16,0.014214128,2015-06-30T15:37:22.171,19
4,V,C,left,right,no,19,0.027356178,2015-06-30T15:37:23.341,20
4,I,P,right,right,yes,7,0.032006271,2015-06-30T15:37:24.513,21
4,E,P,right,right,yes,11,0.024642413,2015-06-30T15:37:25.669,22
4,B,R,right,right,yes,16,0.00740876,2015-06-30T15:37:26.870,23
4,Q,P,left,right,no,1,0.014067878,2015-06-30T15:37:28.039,24
4,J,G,left,right,no,3,9.24545E-4,2015-06-30T15:37:29.178,25
4,H,S,right,right,yes,11,0.014888079,2015-06-30T15:37:30.316,26
4,Q,J,left,right,no,7,0.018042736,2015-06-30T15:37:31.487,27
4,A,U,right,right,yes,20,0.389089259,2015-06-30T15:37:33.033,28
4,H,U,right,right,yes,13,0.162388901,2015-06-30T15:52:10.158,1
4,Q,Y,right,left,no,8,0.559883308,2015-06-30T15:52:11.870,2
4,Y,E,left,left,yes,20,0.778412435,2015-06-30T15:52:13.799,3
4,M,F,left,left,yes,7,0.143566588,2015-06-30T15:52:15.102,4
4,I,E,left,left,yes,4,0.010265783,2015-06-30T15:52:16.288,5
4,A,P,right,left,no,15,0.071433275,2015-06-30T15:52:17.528,6
4,D,K,right,left,no,7,0.004365289,2015-06-30T15:52:18.659,7
4,U,Q,left,left,yes,4,0.069635502,2015-06-30T15:52:19.905,8
4,K,S,right,left,no,8,0.251046849,2015-06-30T15:52:21.333,9
4,G,M,right,left,no,6,0.367502292,2015-06-30T15:52:22.875,10
4,B,H,right,right,yes,6,2.455918627,2015-06-30T15:52:26.496,11
4,C,Q,right,right,yes,14,0.743582068,2015-06-30T17:30:12.954,1
